,Process variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (min),X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52
0,0.248889998,3702.300049,4502.700195,9.416999817,26.99600029,42.18299866,2705.199951,75.17299652,120.4000015,0.336109996,80.06800079,50.4620018,2633.399902,25.18400002,50.20100021,3102.800049,22.61700058,65.72399902,228.6499939,341,94.59200287,77.27400208,32.18799973,8.893300056,26.38299942,6.881999969,18.77599907,1.656700015,32.95800018,13.82299995,23.97800064,1.256500006,18.57900047,2.263299942,4.843599796,2.298599958,0.017866001,0.835699975,0.098577,53.72399902,43.82799911,62.39400101,54.05899811,24.80400085,63.26900101,21.95000076,40.18799973,39.46099854,47,47.59400177,41.38399887,18.90500069
1,0.249039993,3666.199951,4526,9.268199921,26.70999908,42.33200073,2705.5,74.41100311,120.4100037,0.336760014,80.09500122,51.90599823,2634.399902,26.5890007,49.82400131,3102.199951,22.58300018,65.72599792,229.6300049,341.4400024,94.68599701,77.38300323,32.18799973,8.893300056,26.38299942,6.881999969,18.77599907,1.656700015,32.95800018,13.82299995,23.97800064,1.256500006,18.57900047,2.263299942,4.843599796,2.298599958,0.017866001,0.835699975,0.098577,53.72399902,43.82799911,63.01499939,53.78099823,24.79000092,62.17100143,22.23900032,40.10800171,43.70999908,46.12799835,47.50799942,41.65800095,18.97599983
2,0.250340015,3673.300049,4501.299805,9.421199799,26.84199905,42.36000061,2705.300049,75.125,120.4100037,0.337390006,80.1989975,50.46900177,2634.600098,24.49399948,48.95700073,3104,23.5909996,65.75700378,228.4400024,341.1099854,94.56800079,77.54599762,32.22200012,8.94410038,26.07600021,6.788300037,18.67200089,1.666499972,33.01100159,13.7510004,23.75600052,1.190400004,18.96100044,2.262799978,4.870699883,2.270100117,0.017866001,0.835699975,0.098577,53.72399902,43.82799911,62.89300156,54.07500076,24.66900063,61.58499908,22.19099998,40.02999878,39.47999954,44.12099838,47.61199951,41.72100067,16.56200027
3,0.25108999,3657.800049,4497.799805,9.379199982,26.52799988,41.98199844,2707.300049,73.99199677,120.3799973,0.33664,80.32900238,48.21500015,2635.899902,27.36700058,49.70800018,3104.699951,22.09700012,65.78700256,230.1199951,341.3399963,94.6230011,77.56900024,32.22200012,8.94410038,26.07600021,6.788300037,18.67200089,1.666499972,33.01100159,13.7510004,23.75600052,1.190400004,18.96100044,2.262799978,4.870699883,2.270100117,0.017866001,0.835699975,0.098577,53.72399902,43.82799911,63.15999985,54.11700058,24.59499931,61.56100082,21.95899963,40.12099838,32.84799957,45.85800171,47.45899963,40.83599854,20.09399986
4,0.245629996,3698,4537.399902,9.37460041,26.73600006,42.35400009,2705.300049,75.28299713,120.4199982,0.325210005,80.12999725,49.51800156,2634.100098,22.3409996,49.66199875,3103.5,22.85400009,65.79000092,230.0899963,341.2399902,94.39900208,77.15799713,32.19800186,8.994700432,26.18799973,6.98759985,18.65200043,1.647899985,33.38700104,13.79599953,23.85400009,1.171499968,18.89999962,2.275399923,4.808000088,2.254699945,0.017866001,0.835699975,0.098577,53.72399902,43.82799911,63.33399963,53.90599823,24.45100021,61.38800049,22.27099991,39.5379982,36.68199921,45.75299835,47.45800018,41.72700119,18.32999992
5,0.247590005,3687.399902,4538,9.353500366,26.79199982,42.6629982,2704,75.33899689,120.4000015,0.327639997,80.03900146,50.37799835,2632.899902,24.43300056,51.70399857,3101.100098,22.35300064,65.76599884,229.6399994,341.5100098,94.58300018,77.03500366,32.19800186,8.994700432,26.18799973,6.98759985,18.65200043,1.647899985,33.38700104,13.79599953,23.85400009,1.171499968,18.89999962,2.275399923,4.808000088,2.254699945,0.036047,0.847150028,0.097719997,54.0909996,43.91600037,63.51599884,53.90000153,24.25799942,63.37900162,21.97400093,39.24200058,39.2120018,50.47700119,47.4980011,40.92200089,19.53199959
6,0.246889994,3619.699951,4537.899902,9.149200439,27.20100021,42.40100098,2702.699951,75.91899872,120.3799973,0.333359987,80.02899933,48.09899902,2631.399902,25.76099968,48.91199875,3099.699951,21.72800064,65.72299957,229.3600006,341.2799988,94.6230011,77.20200348,31.71299934,8.70359993,26.06599998,6.754300117,18.93499947,1.656900048,32.91799927,13.86900043,23.77599907,1.197000027,18.50300026,2.245500088,4.84649992,2.299099922,0.036047,0.847150028,0.097719997,54.0909996,43.91600037,62.9280014,53.96900177,24.72900009,63.24700165,22.45599937,39.67399979,32.50600052,44.01599884,47.52399826,40.56200027,21.0189991
7,0.249860004,3624.399902,4578.5,9.302300453,26.90600014,42.20999908,2701.899902,74.84999847,120.3799973,0.334479988,79.85099792,51.04999924,2630.899902,24.26199913,49.77299881,3098.5,22.36100006,65.69400024,230.3699951,341.5400085,94.66100311,77.05400085,31.71299934,8.70359993,26.06599998,6.754300117,18.93499947,1.656900048,32.91799927,13.86900043,23.77599907,1.197000027,18.50300026,2.245500088,4.84649992,2.299099922,0.036047,0.847150028,0.097719997,54.0909996,43.91600037,62.84700012,53.48400116,24.43700027,62.43000031,22.06699944,39.53699875,41.19100189,46.00799942,47.43600082,40.6269989,19.54800034
8,0.300119996,3653,4453.5,9.346699715,26.91300011,42.07899857,2703.899902,75.50299835,120.4100037,0.34522,79.92199707,50.39899826,2631.899902,26.55599976,51.09799957,3101.199951,22.91600037,65.63300323,230.9400024,341.4200134,94.6989975,77.23999786,32.06000137,8.990099907,26.31200027,6.991099834,18.97299957,1.649799943,33.35100174,13.75,23.76600075,1.3829,18.19099998,2.211100101,4.945000172,2.312900066,0.036047,0.847150028,0.097719997,54.0909996,43.91600037,64.41100311,54.2820015,29.19000053,61.54499817,21.93899918,40.19300079,39.27500153,49.07500076,47.39199829,40.68399811,18.22800064
